# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      meandata
# Restrict with the SQL clause:    mod0 IS NOT NULL AND vgsr IS NOT NULL
# Display the fields:              objname, mod0, vgsr
# Order by:                        mod0
# Description of each column
# objname: ------------- <NA>
#  mod0: --------------- <NA>
#  vgsr: --------------- <NA>
#-------,-----,-----
objname, mod0, vgsr
NGC4483,31.1,819.4
NGC5556,31.1,1278.2
IC2763,31.1,1488.9
NGC7497,31.101,1884.6
IC3509,31.103,2012.3
NGC4472,31.104,910.9
NGC4298,31.106,1077.9
PGC1875560,31.106,909.4
NGC4414,31.107,741.1
NGC4183,31.108,965.6
NGC4157,31.109,845.2
IC3328,31.11,937.4
IC3635,31.112,1514.2
NGC4498,31.112,1468.3
NGC4494,31.114,1312.3
IC3576,31.114,1004.8
PGC041156,31.118,391.1
IC3442,31.118,1198
PGC041782,31.119,1455.6
NGC4469,31.12,516.9
ESO551-016,31.12,1679.4
IC2995,31.12,1673.6
NGC3510,31.121,675.5
NGC4371,31.122,854.7
NGC4486,31.124,1230.2
UGC04514,31.126,731.5
PGC043020,31.13,1374.2
NGC1556,31.13,816.9
NGC4478,31.13,1336.5
NGC3310,31.13,1045.4
NGC1515,31.131,1006.7
PGC052809,31.132,2140.1
ESO358-063,31.134,1803.3
NGC4570,31.135,1679.2
NGC7205,31.135,1621.3
NGC2293,31.137,1841.3
ESO499-037,31.14,743.9
NGC3666,31.14,972.5
UGC07908,31.14,1808.4
NGC4094,31.14,1293.3
NGC4212,31.141,-142.3
IC3735,31.141,1778.7
IC1933,31.141,912.1
UGC08365,31.143,1317.8
IC3019,31.145,1615.3
UGC09245,31.146,2017.9
NGC6015,31.147,1001.5
NGC3917,31.148,1030.9
UGC07399A,31.15,1371.1
NGC3067,31.15,1422.4
NGC4980,31.156,1284.4
NGC2681,31.157,713.9
NGC4649,31.159,1058.7
NGC5273,31.159,1144.5
NGC3057,31.16,1669.7
NGC4701,31.16,649.6
UGC03574,31.16,1513.2
NGC3027,31.164,1176.2
IC2523,31.168,2393
PGC091755,31.17,1753.3
IC4402,31.17,1512.4
ESO446-053,31.17,1287.3
NGC4116,31.17,1213.2
NGC1035,31.171,1248.8
IC3259,31.171,1340.8
NGC4623,31.172,1726.1
NGC5112,31.173,1032.6
IC3521,31.177,526.4
NGC4470,31.177,2268.4
NGC4479,31.177,798.3
NGC4638,31.179,1113.6
ESO362-019,31.18,1107.5
ESO565-001,31.18,637.7
NGC3113,31.18,869.8
NGC5907,31.182,818.4
NGC1365,31.189,1515.9
NGC4647,31.19,1362
NGC4324,31.19,1583.5
NGC7091,31.19,2589.2
NGC4440,31.19,670.1
ESO356-018,31.195,1336.4
NGC4388,31.195,2460
NGC5569,31.2,1767.8
PGC040636,31.2,2428.8
UGC11545,31.2,3179.1
UGC06931,31.2,1288.5
NGC4406,31.201,-345.4
NGC4419,31.203,-274
NGC4476,31.204,1905.1
NGC5665,31.205,2241.7
NGC4808,31.206,696.5
ESO357-007,31.206,1014.1
IC3602,31.207,1216.1
ESO041-006,31.21,2396.8
PGC069404,31.21,3038.7
UGC12639,31.21,4729.7
NGC0450,31.215,1836
NGC4377,31.217,1311.3
UGC03403,31.218,1390.1
UGC07019,31.22,1636.6
NGC5121A,31.22,1283.1
IC1870,31.221,1531.9
NGC4384,31.221,2583.7
NGC2748,31.222,1608.5
NGC4504,31.223,885
ESO479-004,31.224,1457
NGC1052,31.224,1468.7
NGC0578,31.226,1613.8
NGC2788,31.229,1421.3
NGC4383,31.229,1665.5
ESO265-003,31.23,1173.3
UGC10445,31.23,1100.4
IC3101,31.231,1368.4
NGC7180,31.237,1519.3
NGC1350,31.239,1789.1
ESO495-009,31.24,1252.3
NGC3098,31.24,1240.9
NGC5608,31.24,764.8
IC3044,31.24,-241.2
NGC4382,31.242,682.2
NGC4387,31.247,483.5
IC1555,31.247,1538.7
NGC0134,31.248,1565.4
NGC7667,31.25,2823.6
ESO421-019,31.25,1327.5
NGC3717,31.256,1539.7
NGC0908,31.256,1465.5
NGC1527,31.257,1015.1
IC1153,31.257,6049.8
NGC1179,31.26,1717.3
NGC4159,31.26,1896.4
IC4901,31.26,2067.5
NGC3675,31.262,796.8
NGC4010,31.262,957.6
NGC3049,31.263,1363.2
IC3617,31.268,2014
NGC4482,31.269,1766.8
NGC4771,31.27,1053.9
IC3033,31.27,205.4
NGC1406,31.27,960.9
IC0755,31.272,1469
NGC5775,31.277,1684.2
PGC039331,31.279,-36.8
IC2058,31.28,1198.8
ESO505-008,31.28,1698.9
IC3591,31.28,1566.8
UGC06446,31.28,715.8
UGC01845,31.28,4790.8
NGC4445,31.284,285.4
NGC4207,31.284,537.1
IC0745,31.287,1024.8
ESO501-065,31.288,4208.1
NGC1140,31.29,1471.5
NGC4486A,31.29,703.7
PGC002805,31.292,1395.8
NGC1336,31.292,1300.7
NGC3365,31.294,862.2
PGC041723,31.294,780.3
NGC1553,31.295,975.8
NGC3893,31.3,1016.2
PGC074714,31.3,1374.3
NGC3887,31.3,1048.9
NGC1519,31.303,1732.1
NGC0337,31.305,1701.2
NGC4102,31.307,919.5
NGC3495,31.307,1008.5
ESO502-020,31.31,1192.3
ESO085-014,31.31,1215.8
PGC040670,31.31,1019.4
ESO380-001,31.31,2507.5
ESO418-009,31.31,858.9
PGC074752,31.31,1907.2
NGC0100,31.312,979
UGC07699,31.32,528.7
IC3414,31.32,457.5
ESO594-017,31.32,1826.4
ESO358-025,31.321,1753.4
NGC4129,31.322,1045.8
UGCA166,31.325,800.6
IC3365,31.327,2314.7
NGC5300,31.327,1138.3
ESO015-001,31.327,1472.4
NGC4352,31.329,2022.7
ESO248-002,31.33,1261.3
NGC4081,31.332,1605.2
NGC4278,31.335,620
UGC00017,31.336,1024.2
UGC06894,31.336,927.8
ESO121-006,31.336,1003.8
NGC0063,31.337,1291.3
NGC4845,31.337,1027.1
NGC1473,31.34,1218.7
UGC04628,31.34,808.1
PGC044506,31.34,1508.3
ESO481-018,31.34,1712.2
NGC3949,31.344,853.1
NGC4217,31.345,1063
PGC009354,31.347,2081.9
ESO342-013,31.347,2657.2
ESO406-042,31.35,1375.5
NGC1532,31.353,1063.6
NGC7743,31.358,1827.5
UGC06667,31.358,1040
PGC013230,31.358,1083.4
NGC0936,31.359,1447.5
UGC05707,31.36,2817.8
NGC4330,31.364,1544
NGC4235,31.364,2346.3
NGC4013,31.367,876.9
NGC1292,31.367,1273.9
NGC5770,31.367,1487.6
PGC074617,31.37,1389.4
NGC4220,31.37,977.5
NGC4441,31.377,2778.9
NGC4206,31.379,643.1
NGC0210,31.379,1679.8
IC3474,31.38,1648.8
ESO382-031,31.38,1715.4
PGC3097693,31.384,1787
NGC3547,31.385,1485.9
UGC04238,31.386,1675.9
NGC1379,31.387,1201.8
NGC1187,31.389,1319.6
NGC1485,31.39,1234.2
PGC041725,31.39,1185
NGC4568,31.39,2182.7
NGC1351,31.392,1362.4
NGC3673,31.393,1751.3
NGC4580,31.394,964.7
NGC4519,31.395,1158.3
NGC1373,31.397,1213
NGC3936,31.4,1840.4
ESO213-011,31.4,2518.8
ESO234-043,31.402,2414.8
NGC1448,31.402,1023.1
NGC1387,31.405,1137.6
NGC1530,31.406,2615.5
NGC3206,31.407,1223.6
ESO440-027,31.408,1526.2
NGC3003,31.409,1448.6
IC3908,31.41,1198.2
NGC7582,31.41,1560.3
NGC2591,31.41,1463.9
IC2000,31.411,826.7
ESO359-002,31.412,1299
NGC4085,31.413,849
NGC1427,31.414,1262.7
NGC4533,31.415,1677
PGC013058,31.415,1696
NGC1879,31.42,1071.3
NGC5107,31.42,1003.6
NGC5577,31.42,1476.3
ESO443-085,31.42,2251.4
PGC008295,31.42,2011.3
UGC07982,31.422,1083.9
NGC7750,31.423,3055.4
NGC0274,31.427,1786.9
PGC013343,31.428,1570.7
NGC3389,31.43,1204.2
NGC1533,31.431,622.1
NGC4571,31.432,292.4
NGC1055,31.432,1004
NGC3526,31.433,1309.4
NGC4251,31.437,1063.2
ESO079-005,31.438,1597.6
NGC5984,31.439,1165.9
NGC4274,31.44,917.3
NGC1374,31.44,1172.8
ESO480-025,31.44,1645.6
NGC0779,31.441,1408.2
PGC013758,31.441,1849.7
ESO481-014,31.442,1649.4
NGC1351A,31.444,1234.8
NGC5088,31.446,1337
PGC013084,31.446,1166.3
NGC1549,31.447,1070.5
PGC006228,31.448,1533.7
NGC5356,31.45,1345.3
NGC3258D,31.45,2270.8
NGC5690,31.451,1751.5
IC1919,31.455,1213.9
IC0167,31.456,3037.6
NGC1411,31.457,868
ESO302-009,31.46,855.1
NGC4237,31.461,813.5
ESO358-059,31.461,912.9
PGC013146,31.463,1935
NGC1574,31.467,867.1
NGC4423,31.467,1045.7
NGC1460,31.469,1211.7
UGC03144,31.47,1783.5
ESO358-050,31.472,1175.8
IC3311,31.474,-195.3
NGC4222,31.476,172.2
ESO146-014,31.477,1608.3
NGC1339,31.478,1280.8
NGC2397,31.478,1143.1
IC4721,31.478,2156.9
NGC1380A,31.479,1487.3
UGC06917,31.479,974.9
UGC04444,31.48,1988.8
ESO037-005,31.48,948
ESO269-085,31.48,2698.3
NGC1396,31.481,695.2
NGC4299,31.483,181.2
ESO358-066,31.484,1362.2
NGC3585,31.487,1178.9
NGC7185,31.487,1868.2
NGC1543,31.487,997.2
NGC0755,31.487,1635.5
NGC3626,31.487,1398.4
IC2006,31.489,1236.3
PGC043341,31.49,1413.8
NGC4359,31.49,1259.5
IC3322,31.49,1115.3
NGC3912,31.49,1764.5
ESO357-012,31.49,1456.2
NGC1375,31.49,662.8
NGC6255,31.491,1082
IC3239,31.493,684.5
IC1898,31.495,1249.6
NGC4579,31.496,1465.8
NGC0584,31.497,1884.6
NGC4607,31.5,2207.6
NGC7162A,31.5,2261.5
NGC4753,31.5,1159.4
NGC4100,31.501,1177.9
ESO301-008,31.504,1298.3
PGC054944,31.504,2010.3
NGC3032,31.505,1492.7
NGC1404,31.506,1822.2
NGC3972,31.506,932.9
PGC013177,31.509,1257.3
IC0210,31.509,1934.8
ESO091-003,31.51,1682
UGC11921,31.51,1863.5
NGC3923,31.512,1368.6
NGC7177,31.512,1343.5
NGC1421,31.514,2016
IC5078,31.514,1573
NGC4123,31.516,1231.9
NGC7259,31.516,1761.3
NGC3599,31.517,769.2
UGC08146,31.517,771.8
NGC0701,31.518,1859.9
NGC3169,31.518,1095.6
NGC4380,31.519,887.5
IC4390,31.52,1980.7
NGC5566,31.52,1517.1
NGC4835,31.52,2007.3
NGC6395,31.521,1356.5
NGC1380B,31.522,1628
NGC1380,31.522,1753
IC4213,31.524,859.6
ESO443-083,31.529,2226.7
NGC3252,31.53,1274.5
PGC054411,31.53,1323.1
NGC4608,31.53,1786.8
ESO601-025,31.53,1814.2
NGC6643,31.532,1682.7
NGC4143,31.533,997.4
NGC1201,31.535,1597
PGC013097,31.538,1541
IC4386,31.54,1736.3
NGC5470,31.54,1005.5
ESO320-004,31.54,2644.8
NGC3227,31.54,1051.1
UGC06399,31.541,848.4
ESO423-002,31.544,1304.2
UGC07991,31.545,1193.2
NGC4374,31.546,944.8
NGC4634,31.546,79.5
NGC1428,31.549,1513.1
ESO358-042,31.549,1040.8
UGC06296,31.55,903.7
IC4819,31.55,1763.6
NGC7059,31.55,1653.4
NGC4941,31.55,1022.1
UGC02800,31.55,1330.1
ESO545-002,31.551,1575.5
NGC1316,31.554,1669.5
ESO358-006,31.554,1152.5
NGC3592,31.556,1228.3
NGC3457,31.557,1082.4
NGC3605,31.557,607.5
NGC3850,31.557,1233
IC0335,31.558,1515.9
UGC07802,31.559,1710.9
NGC2273A,31.56,2186
IC1970,31.56,1103.3
UGC00132,31.56,1815.1
NGC3756,31.563,1357.5
NGC1399,31.564,1302.1
NGC1340,31.568,1078.5
NGC3684,31.57,1091.9
NGC3454,31.57,1025.6
ESO240-004,31.57,1517.5
ESO380-025,31.57,2612
NGC0007,31.571,1502
NGC3622,31.574,1412.3
NGC3245,31.577,1313.7
NGC5806,31.579,1357.6
NGC3794,31.584,1460.9
IC0217,31.585,1885.1
ESO358-043,31.589,1259.7
IC5269B,31.589,1670.9
NGC0289,31.589,1608.5
UGC11651,31.59,1740.4
NGC4331,31.59,1711.6
PGC053779,31.59,1839.9
NGC2273B,31.59,2188.2
ESO572-018,31.59,1438
ESO505-003,31.594,1620.5
NGC5301,31.596,1597.7
NGC1366,31.597,1194.5
NGC6118,31.597,1621.7
NGC4033,31.597,1456.7
NGC2742,31.598,1358.7
NGC5705,31.6,1747.1
ESO149-001,31.6,1818.3
ESO293-034,31.6,1477
NGC6951,31.602,1645
NGC4219,31.603,1796.9
NGC0406,31.605,1368.7
NGC1389,31.605,797.5
ESO289-026,31.61,2414.7
UGC05459,31.61,1159.9
NGC0150,31.617,1577.2
NGC3136B,31.617,1566.8
NGC4620,31.617,1080.3
UGC08246,31.62,847.6
NGC3729,31.62,1084.5
NGC5161,31.627,2245.9
ESO576-026,31.627,1825.2
ESO340-042,31.63,2663.6
ESO060-019,31.63,1226.5
NGC1110,31.634,1305.2
NGC2974,31.637,1728
UGC06983,31.64,1152.2
ESO490-010,31.64,1633.3
PGC058798,31.643,1619.5
PGC040766,31.645,931.2
NGC2434,31.647,1236.9
NGC1253,31.647,1688.2
NGC3359,31.649,1103.9
NGC1051,31.65,1285.8
ESO358-056,31.65,977
NGC7690,31.65,1442
UGC06594,31.651,974.6
NGC4981,31.653,1588.5
NGC0803,31.655,2180.2
NGC3044,31.656,1143.4
UGC08333,31.659,952.7
NGC5005,31.66,997.3
NGC7280,31.66,2048.5
ESO138-014,31.664,1395.2
NGC3813,31.665,1474.2
NGC5523,31.666,1092.2
NGC3120,31.666,2570.9
NGC0596,31.667,1936.5
NGC3659,31.668,1222.2
NGC2731,31.669,2453
IC0356,31.67,1039.8
IC5039,31.671,2757.2
NGC7307,31.671,2075.7
NGC1425,31.672,1398
ESO418-008,31.674,1086
UGC06792,31.674,872.9
NGC1381,31.675,1604.8
PGC039813,31.675,2483.6
NGC3020,31.675,1332.8
NGC2880,31.677,1562.4
ESO476-010,31.679,1584
PGC090402,31.68,2733.7
ESO182-010,31.68,3478.4
UGC09380,31.68,1681.9
UGC06378,31.682,1425.2
UGC11093,31.682,2096.3
NGC4252,31.688,791.4
ESO580-022,31.69,2158.7
PGC044358,31.69,1378
UGC05574,31.691,1396.1
ESO481-021,31.692,1658.7
IC1913,31.696,1343.4
NGC4318,31.698,1141.2
NGC7339,31.699,1533.4
UGC03371,31.7,953.4
NGC4698,31.7,952.8
NGC2146A,31.7,1638
IC4536,31.7,2238.6
NGC1172,31.709,1484.8
NGC1964,31.709,1504.3
UGC08995,31.71,1227.8
ESO550-005,31.71,1787.9
ESO116-012,31.71,997.3
NGC0941,31.71,1614.7
NGC4343,31.71,923.1
IC3520,31.719,757.9
NGC3956,31.719,1490
NGC4682,31.72,2210.7
IC0718,31.72,1892.6
NGC1325,31.723,1507.2
NGC4376,31.725,1060.9
NGC2768,31.727,1469.2
NGC3156,31.727,1208.7
UGC03137,31.729,1142.4
NGC4434,31.73,1001.6
IC5105B,31.73,2253.6
NGC3733,31.73,1254.3
UGC01999,31.733,1043.4
UGC01862,31.74,1400.1
PGC072252,31.743,2206.7
NGC5839,31.747,1241.1
ESO510-026,31.75,2256.5
UGC01070,31.75,2964.1
ESO428-015,31.75,1867.7
ESO291-024,31.76,1661.8
IC0764,31.762,1961
ESO548-021,31.765,1600.2
IC1197,31.765,1435
IC3742,31.766,921.1
NGC3607,31.767,862.5
NGC1419,31.769,2003.9
UGC02827,31.77,1678
NGC3501,31.77,1053
NGC5496,31.774,1500.4
IC2389,31.774,2501.6
ESO482-046,31.776,1416.3
NGC1332,31.777,1444.5
NGC2778,31.777,2002
NGC3608,31.777,1143.7
UGC07943,31.78,771.9
UGC11818,31.78,2612.8
PGC012868,31.78,2232.8
NGC4215,31.78,1989.6
PGC040059,31.781,680.9
NGC4189,31.781,2049.8
ESO601-007,31.782,1866.4
NGC6548,31.787,2357.4
ESO441-007,31.787,2042.2
NGC7332,31.787,1378.8
ESO138-013,31.79,2611.2
IC1952,31.79,1722.1
NGC6236,31.791,1465.8
NGC7463,31.792,2437.9
PGC036643,31.795,1572.9
NGC3705,31.799,926.1
NGC5109,31.8,2245.6
NGC5188,31.8,2270.9
NGC7151,31.8,1827.7
NGC1331,31.8,1126.8
IC5271,31.803,1733.2
NGC0493,31.803,2501.4
IC1962,31.805,1718.6
NGC0955,31.805,1499.1
NGC1537,31.807,1271.8
NGC4365,31.807,1148.3
UGC05708,31.814,1047.4
IC3247,31.814,574.5
IC2311,31.817,1631.1
NGC5658,31.82,1605.8
NGC3655,31.82,1430.3
PGC016850,31.82,1842.6
IC3391,31.82,1673.4
ESO327-039,31.82,2805.8
UGC08084,31.82,2708.7
ESO403-017,31.824,2729
NGC4651,31.826,767
NGC7145,31.827,1862.6
NGC6237,31.828,1318.2
NGC6861F,31.83,3170.5
IC0797,31.83,2053.1
NGC3347C,31.83,2441.5
NGC7599,31.83,1659.4
NGC4307,31.835,990.1
NGC3338,31.836,1202.6
NGC3226,31.837,1235.3
NGC2904,31.837,2119.1
UGC07321,31.838,385
NGC3669,31.839,1830.8
ESO140-006,31.84,2281.1
ESO504-024,31.84,1716.6
NSFJ033923.74+350249.0,31.84,973.9
ESO322-009,31.841,3366.4
NGC0821,31.841,1817.5
ESO434-011,31.842,2340.4
ESO532-014,31.842,1786.7
IC3322A,31.842,922.6
NGC1426,31.844,1350.3
PGC039556,31.845,1923.8
NGC3672,31.849,1713.8
NGC3982,31.849,1190.7
ESO503-022,31.85,1697.9
PGC044278,31.85,1164.8
UGC03909,31.85,1068.9
ESO268-046,31.85,2120.4
UGC05958,31.854,1143.8
NGC7302,31.857,2767.4
PGC040115,31.857,1029.5
UGC04306,31.859,2390.4
ESO403-024,31.86,2634.7
ESO563-002,31.86,1444.7
UGC01240,31.86,1862.9
NGC3652,31.862,1997.5
UGC00866,31.863,1803.2
NGC7454,31.867,2184.2
NGC5574,31.867,1572.9
NGC4125,31.867,1501.5
NGC4699,31.87,1288.6
UGC05050,31.87,2313
ESO157-049,31.87,1488.9
PGC090694,31.87,1615.3
ESO048-017,31.87,2784.2
UGC02485,31.87,2177.8
IC0719,31.87,1740.7
NGC4391,31.877,1436
ESO545-003,31.879,1556.2
ESO377-034,31.88,2409.9
IC2996,31.88,2080.3
NGC4561,31.882,1372.6
IC3059,31.882,201.7
NGC1160,31.883,2646.9
NGC1395,31.887,1607.3
IC1914,31.887,886.7
NGC4448,31.887,682.7
NGC1367,31.888,1366.2
UGC05646,31.89,1274.8
IC0467,31.89,2177.9
NGC2715,31.89,1465.4
NGC6106,31.892,1526.8
PGC039018,31.897,-208.1
UGC03587,31.9,1196.5
ESO490-045,31.9,1513.5
UGC07844,31.9,2004
NGC6764,31.902,2633.8
IC3148,31.905,2405.8
ESO504-025,31.91,1459.2
IC2367,31.91,2246.6
IC0600,31.91,1151.4
NGC5861,31.91,1833.5
ESO381-041,31.91,2409.1
ESO582-012,31.915,2271.4
NGC5756,31.919,2093.9
NGC4200,31.92,2279.7
NGC3185,31.92,1163.5
NGC3471,31.92,2202
NGC3041,31.926,1307.9
NGC7144,31.927,1896.5
NGC3136,31.927,1489.9
NGC6239,31.928,1097.7
IC3229,31.928,1467.4
NGC7531,31.928,1570.9
NGC7689,31.929,1900.4
UGC09215,31.929,1379.7
IC0284,31.93,2833.4
UGC12212,31.93,1096.5
PGC011248,31.93,2359.5
UGC12178,31.93,2085.9
NGC3981,31.93,1554.6
NGC3190,31.93,1245.7
UGC08684,31.931,2327
UGC09242,31.931,1560.7
IC3005,31.933,1546.3
ESO489-006,31.934,2049.1
NGC6384,31.935,1783.4
UGC00711,31.936,2055.4
NGC4658,31.938,2285.6
NGC3795,31.938,1293.5
IC3115,31.939,655.4
NGC4281,31.94,2646.9
UGC12069,31.94,2565.4
IC3015,31.94,1855
ESO490-028,31.94,1950.4
NGC4038,31.945,1477
NGC2763,31.95,1694
NGC7590,31.95,1563.1
UGC08120,31.95,1808.7
UGC06969,31.95,1184.8
ESO508-034,31.953,1776.9
NGC2280,31.953,1716.1
NGC6155,31.956,2582.3
NGC5846,31.957,1761.3
ESO442-013,31.958,1353.9
NGC4947,31.959,2246.1
IC2554,31.96,1183.3
IC5270,31.96,1931.9
IC4871,31.96,1859.4
UGC01958,31.96,1112.6
UGC01112,31.96,1773.9
ESO138-024,31.96,2760.7
NGC4394,31.963,879.2
NGC7507,31.967,1637.7
UGC07421,31.968,91.8
NGC1398,31.97,1296.6
NGC3589,31.971,2037.1
NGC3055,31.971,1680.1
NGC2633,31.979,2290.7
NGC5869,31.98,2085.2
UGC06940,31.98,1184
IC2469,31.984,1442.5
NGC3414,31.987,1420
NGC5611,31.987,2030.6
IC0163,31.988,2851.2
NGC4178,31.99,307.5
IC4821,31.99,2637.9
NGC4197,31.992,1996.7
NGC6339,31.993,2289.5
UGC06603,31.994,1626.6
NGC1299,31.994,2280.6
NGC7218,31.996,1752.2
NGC7723,31.997,1938.3
ESO305-017,32,890.8
NGC1832,32,1806.7
UGC07424,32,781
UGC05974,32,917.5
UGC03580,32,1320.2
NGC5576,32.007,1408.6
NGC1171,32.009,2856.2
ESO292-014,32.01,1451.3
ESO570-019,32.01,1157.6
PGC005329,32.01,2042.7
NGC3992,32.013,1120.1
NGC2325,32.017,1954
ESO359-016,32.02,1271.2
NGC5786,32.02,2867.2
NGC2573,32.02,2257.4
ESO040-007,32.02,2491.6
IC5269,32.02,2033.9
UGC03630,32.02,1632.2
NGC4639,32.022,939.5
ESO435-019,32.025,2595
NGC2592,32.027,1980
NGC7041,32.027,1920.1
NGC2380,32.027,1575
ESO488-060,32.03,1622.8
NGC3522,32.03,1142.6
NGC5219,32.033,2382.1
NGC3752,32.034,2054.1
ESO005-004,32.038,1687.1
PGC018848,32.04,2675.3
ESO563-014,32.044,1505.3
UGC12160,32.044,1756.2
UGC09056,32.047,2149.3
NGC5485,32.047,2026.8
UGC12350,32.048,2315.6
NGC4142,32.049,1235.3
UGC05990,32.05,1557.6
UGC05740,32.05,693
ESO494-007,32.05,1350.3
UGC11074,32.05,2028
ESO581-025,32.055,2222
ESO482-035,32.056,1786.2
UGC09024,32.057,2354.7
UGC05245,32.057,1259.2
IC4555,32.058,2502.7
IC2589,32.06,3464.9
UGC05228,32.06,1624.5
NGC4162,32.06,2547.5
PGC002492,32.06,1584.6
ESO342-050,32.062,2670.6
NGC0907,32.064,1614.6
NGC5792,32.066,1922.7
NGC4589,32.068,2143.5
ESO321-016,32.069,2993.7
UGC05524,32.07,1569.8
IC0381,32.07,2626.4
ESO548-032,32.07,1873.9
ESO499-025,32.07,2200.3
NGC5638,32.077,1649.7
NGC5362,32.077,2176.6
NGC4451,32.078,795.3
PGC043679,32.08,2150.3
NGC1400,32.08,506.5
NGC4288,32.08,588
PGC050620,32.085,4882.4
ESO489-029,32.086,1518.9
NGC6070,32.088,2054.6
NGC5951,32.089,1848.2
IC1048,32.09,1590.3
NGC4390,32.09,1036.7
PGC071159,32.09,4022.1
ESO438-005,32.09,1301.6
NGC0514,32.091,2568.5
NGC3654,32.093,1690.8
NGC7378,32.096,2666.3
NGC4105,32.097,1696.9
PGC089942,32.1,3316.3
ESO139-046,32.1,2720.7
UGC03751,32.1,2234.6
NGC2550,32.104,2392.3
NGC1439,32.107,1572.7
NGC6703,32.107,2512.4
NGC3641,32.107,1644.9
NGC4316,32.109,1184.2
PGC018581,32.109,1904.3
UGC07774,32.11,573.6
ESO035-018,32.11,1561.9
NGC0613,32.11,1446.1
PGC086068,32.11,1893.8
NGC1145,32.111,2003.6
NGC3403,32.112,1388.8
NGC5719,32.114,1715.9
NGC3245A,32.115,1280.7
IC3370,32.117,2753.9
PGC040107,32.117,1338.2
ESO019-003,32.119,1811.5
ESO443-079,32.12,1983.3
NGC5938,32.12,3361.4
ESO385-033,32.12,2937
NGC3443,32.12,1032.7
IC5176,32.121,1645.5
UGC02519,32.121,2533.7
UGC07301,32.124,761.2
IC1158,32.125,1975.4
NGC2699,32.127,1659.8
NGC5812,32.127,1898.6
ESO540-016,32.128,1581.6
NGC1353,32.13,1445.6
UGC12681,32.13,1633
NGC5464,32.13,2575.4
NGC2146,32.13,1040.6
ESO569-014,32.131,1867
ESO202-035,32.131,1699.1
UGC03876,32.132,814.8
NGC2770,32.132,1910.8
NGC5526,32.133,2181.6
ESO287-043,32.133,2471.3
ESO549-018,32.134,1484.9
NGC4309,32.134,968.6
NGC3361,32.136,1750.2
NGC4386,32.137,1790.8
NGC3640,32.137,1199.2
NGC7140,32.137,2921.6
ESO556-015,32.14,1810.6
UGC08114,32.14,1965
NGC6868,32.14,2922.1
IC4237,32.14,2540.6
NGC4411B,32.14,1205.1
NGC2613,32.141,1466.5
PGC012798,32.142,1806.7
NGC4793,32.142,2508.1
ESO469-015,32.143,1659
UGC00634,32.146,2309
NGC5831,32.147,1640.4
NGC3347,32.147,2787
UGC00392,32.15,1587.3
ESO371-020,32.15,2141.1
UGC05393,32.15,1418.7
IC2152,32.151,1700.7
UGC04078,32.152,2018.4
ESO322-101,32.157,1780.6
PGC006703,32.16,1447.1
ESO508-007,32.16,2847.5
UGC06816,32.16,969.2
UGC04054,32.16,2053.6
UGC12344,32.16,1808.8
NGC5746,32.16,1710.2
PGC023262,32.16,2027.7
ESO009-010,32.16,2258.8
NGC2263,32.164,2551.9
NGC4030,32.17,1350.6
UGC05349,32.17,1361.9
ESO572-024,32.17,1720.2
NGC4598,32.17,1899.4
ESO293-045,32.17,1428.5
PGC040408,32.17,1673.8
IC4468,32.171,2377.5
UGC12857,32.177,2577.3
UGC01839,32.18,1562.5
NGC4772,32.18,965.7
NGC0298,32.18,1809.7
UGC03749,32.185,1260.7
IC3066,32.185,313
NGC0720,32.187,1717.2
UGC07249,32.189,545.2
ESO407-009,32.19,1568.2
PGC061353,32.19,1931.8
PGC016894,32.19,1850.8
PGC014768,32.19,1852.6
UGC11380,32.19,3090.3
IC3253,32.19,2528.4
UGC05791,32.192,888.9
ESO508-011,32.194,2476.1
UGC07767,32.197,1288.1
NGC5631,32.197,2086.3
NGC0474,32.2,2416.1
NGC5730,32.2,2635.7
ESO263-031,32.2,2459.4
ESO263-051,32.2,2445.2
NGC4502,32.2,1588.9
UGC06390,32.203,1109.7
NGC4276,32.205,2543.6
NGC5687,32.207,2245.2
PGC090392,32.21,4308.3
UGC05844,32.21,1429
PGC012608,32.21,1940.9
PGC045650,32.21,2456
NGC5350,32.212,2399.6
IC0902,32.213,1713.6
NGC1784,32.215,2198.6
UGC06023,32.215,1291.7
ESO541-004,32.216,2016.7
NGC5678,32.217,2036.6
IC4797,32.217,2654.5
NGC6861,32.217,2796.6
NGC5728,32.218,2728.6
PGC013684,32.22,1135.3
UGC11030,32.22,1875.4
NGC0615,32.224,1899.6
IC3881,32.226,900.4
NGC7817,32.226,2469.6
UGC00260,32.227,2262.7
NGC5970,32.231,2021.8
IC4231,32.232,2130.9
NGC4273,32.232,2297.4
NGC1090,32.236,2882.9
NGC3904,32.237,1373.1
UGC09746,32.237,1751.1
NGC6943,32.238,3011.2
NGC0157,32.24,1718.8
PGC071201,32.24,3662.5
NGC3118,32.24,1306.6
ESO565-029,32.24,2198.9
ESO407-007,32.242,1632.7
PGC041918,32.245,1016.1
NGC5582,32.247,1527.8
NGC5878,32.249,1961.1
ESO285-048,32.25,2699.3
UGC08742,32.25,2332.6
NGC3879,32.25,1552
NGC5584,32.252,1626.5
UGC09760,32.252,2038.2
UGC04148,32.254,725.8
NGC1853,32.255,1216.8
NGC4995,32.255,1650.9
NGC1297,32.257,1506.7
UGC07590,32.259,1054.8
