# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      meandata
# Restrict with the SQL clause:    mod0 IS NOT NULL AND vgsr IS NOT NULL
# Display the fields:              objname, mod0, vgsr
# Order by:                        mod0
# Description of each column
# objname: ------------- <NA>
#  mod0: --------------- <NA>
#  vgsr: --------------- <NA>
#-------,-----,-----
objname, mod0, vgsr
ESO324-024,27.89,356.6
PGC028826,27.91,188.7
NGC5102,27.918,315.1
[CKT2009]D1028+70,27.92,43.8
PGC028759,27.921,206.9
UGC05336,27.93,160.4
NGC3077,27.931,98.4
PGC028529,27.948,66.5
NGC4151,27.95,1018.9
[KKH2007]J1228+4358,27.97,278.3
PGC046663,27.985,575.4
[HS98]117,27.996,78.9
UGC05692,28,171
IC2574,28.008,153.4
NGC0625,28.012,316.5
UGC05139,28.021,253.6
NGC4789A,28.031,382.6
PGC032667,28.033,229.6
NGC4424,28.086,376.2
ESO097-013,28.12,267.1
NGC1042,28.12,1356.1
UGC07298,28.121,247.1
UGC06541,28.128,302.8
UGC08320,28.13,269.4
UGC08308,28.13,242
[CKT2009]D0959+68,28.133,-80.2
NGC1343,28.14,2369.6
NGC4449,28.15,256.3
NGC2915,28.159,262
UGC08638,28.16,300.9
NGC1313,28.166,301.6
UGC01703,28.171,157.5
DDO169NW,28.18,324.4
PGC166142,28.18,352.5
IC4316,28.191,450.9
NGC4244,28.192,272.4
ESO471-006,28.2,274.7
IC4182,28.203,361.7
NGC4068,28.209,281.9
NGC4736,28.21,366
ESO273-014,28.21,926.2
UGC08331,28.217,347.8
NGC4236,28.221,122.6
NGC4826,28.221,399.5
NGC5264,28.241,349.3
PGC677373,28.244,452.7
ESO384-016,28.26,373.4
NGC5238,28.269,330.2
PGC2807102,28.286,239.3
UGC08215,28.289,296.7
PGC166115,28.296,248.1
ESO245-005,28.299,309.2
IC3687,28.301,394.2
NGC5204,28.303,318.3
UGC06456,28.32,38.6
UGC06757,28.32,178
ESO059-001,28.33,315.5
PGC039228,28.333,229.2
UGC07605,28.335,334
PGC2801052,28.34,229.7
ESO444-084,28.346,460.5
UGC07599,28.37,321.8
UGC08245,28.37,129.1
PGC046885,28.388,346.1
NGC4395,28.39,333.9
PGC2807110,28.396,302.5
UGC00685,28.41,273.2
UGC08201,28.419,163.4
PGC044055,28.42,402
PGC038685,28.43,358.3
ESO440-011,28.44,1757.3
UGC07698,28.44,343.7
NGC5236,28.45,377.3
NGC0059,28.45,396.4
PGC095594,28.456,241.5
IC1574,28.465,374.7
UGC07559,28.482,246.2
PGC166170,28.49,259.3
PGC592761,28.493,341.1
PGC166065,28.521,279.6
ESO115-021,28.53,368.6
NGC5068,28.56,549.7
IC4247,28.566,281.9
PGC166163,28.59,428.1
NGC4656,28.598,665.5
UGC01281,28.61,272.9
PGC020125,28.613,345.2
NGC3738,28.62,295.4
NGC5408,28.63,366.2
PGC166192,28.63,359.2
PGC166193,28.64,357
NGC0784,28.65,303.8
PGC2601822,28.66,253
ESO379-007,28.667,454.1
ESO444-078,28.668,440.9
ESO381-018,28.678,451.9
UGC07242,28.679,180
ESO215-009,28.689,378.9
ESO381-020,28.689,422.7
PGC138836,28.7,339.7
IC5052,28.71,483.3
NGC4242,28.714,570
NGC4605,28.719,256.1
NGC1311,28.72,425.2
PGC166064,28.739,323.1
PGC683190,28.745,509.1
AGC749241,28.75,449.5
PISCESA,28.76,366.2
HIPASSJ1348-37,28.761,440.3
PGC040665,28.785,346.2
PGC3097113,28.79,373.9
NGC1705,28.79,444.9
PGC010217,28.792,172.8
PGC044982,28.8,627.3
NGC5134,28.8,1640.7
UGC02905,28.817,302.3
UGC09405,28.82,355.1
ESO154-023,28.833,434
PGC166152,28.842,449.3
ESO137-018,28.844,483.6
ESO443-009,28.863,492.7
ESO320-014,28.89,453.5
PGC3097690,28.891,275.4
ESO199-007,28.905,498.5
PGC045084,28.916,621.8
AGC112521,28.92,398.6
ESO121-020,28.92,372.3
PGC042134,28.94,492.6
NGC1566,28.941,1328.7
IC1959,28.95,490.9
UGC05672,28.98,473.1
NGC6503,28.988,237.7
UGC07857,28.997,66.5
ESO223-009,29,462.3
ESO489-056,29,304.3
ESO437-067,29,2977.9
ESO490-017,29.008,309.4
NGC4523,29.031,216.7
NGC5014,29.034,1180.1
PGC2801050,29.04,185.1
AGC748778,29.05,405
PGC017716,29.05,285.6
ESO494-026,29.06,749.7
UGC02684,29.065,386.3
NGC4707,29.07,550.6
PGC009892,29.08,221.1
NGC3274,29.08,486
UGC11411,29.083,296.5
NGC4700,29.088,1294.2
NGC5023,29.092,477.8
PGC029299,29.096,550.4
NGC0045,29.11,490.7
ESO553-046,29.13,391.5
NGC3621,29.13,530.4
UGC11583,29.135,342.5
NGC6946,29.137,272.4
UGC04945,29.14,787.9
NGC5477,29.154,435.2
UGC00288,29.17,373.9
NGC7292,29.17,1196.9
NGC5474,29.182,375.5
NGC2537,29.19,468.9
NGC4144,29.191,319.2
ESO318-013,29.199,501
ESO376-016,29.2,454.4
ESO270-017,29.21,668.2
PGC016389,29.21,487.7
ESO149-003,29.221,505.8
ESO461-036,29.222,470.3
NGC3380,29.222,1557.9
ESO501-023,29.23,842.1
UGC03476,29.23,436.3
PGC166062,29.24,542.8
NGC2997,29.25,868.2
UGC05272,29.26,480.3
NGC5457,29.26,356.2
IC1727,29.27,457
UGC03303,29.27,440
NGC4559,29.271,815.5
PGC002544,29.275,415.5
NGC0672,29.289,545.6
UGC08837,29.3,257.6
PGC013294,29.31,595.4
PGC044681,29.31,699.3
UGC07356,29.31,327.8
UGC07408,29.311,514.9
NGC0024,29.32,574.1
NGC4631,29.331,636.2
UGC01171,29.34,834.1
IC4710,29.34,629.8
NGC7496,29.34,1626.3
UGC05918,29.346,438.8
NGC2787,29.347,802.6
UGC05086,29.36,404.5
UGC01104,29.39,806
PGC043345,29.39,1198.3
NGC5195,29.397,560.2
PGC626659,29.4,606.1
NGC4258,29.406,514
UGC07639,29.42,446.1
UGC03755,29.429,207
IC2596,29.44,3174.3
NGC3513,29.45,1007.9
NGC1518,29.457,825.5
NGC1156,29.465,443.8
PGC138451,29.47,478
UGC04115,29.475,243.7
PGC006354,29.48,881.7
AGC174585,29.481,241.4
NGC7412,29.503,1692.1
PGC021614,29.511,189.2
ESO238-005,29.524,673.3
NGC2835,29.53,677.4
NGC4488,29.53,914.1
NGC4641,29.537,1969.7
UGC03974,29.558,180.1
ESO495-021,29.58,644
NGC4064,29.586,884.8
APPLES1,29.6,651.9
NGC1433,29.6,927.8
PGC013821,29.618,1157.4
NGC2188,29.62,549.2
